,scope,name,rse,available_bytes,available_length,created_at,updated_at,accessed_at,length,bytes,state,official,available_gb,gb,cloud,site,tier,freespace,datetime
0,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,JINR-LCG2_DATADISK,35852712628,25,2021-07-22 08:41:13,2021-07-25 11:06:03,2021-07-22 09:34:37,190,403264512568,UNAVAILABLE,False,33.39,375.57,RU,JINR-LCG2,2,777,09-28-2021
1,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267606_00,JINR-LCG2_DATADISK,1409385549714,179,2021-08-13 03:12:39,2021-08-20 03:13:23,2021-08-14 03:39:54,180,1414498443641,UNAVAILABLE,False,1312.59,1317.35,RU,JINR-LCG2,2,777,09-28-2021
2,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267610_00,JINR-LCG2_DATADISK,1004154980515,121,2021-08-13 22:56:23,2021-08-15 03:44:18,2021-08-14 21:01:15,179,1413894118328,UNAVAILABLE,False,935.19,1316.79,RU,JINR-LCG2,2,777,09-28-2021
3,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267634_00,JINR-LCG2_DATADISK,25483941457,3,2021-08-14 02:16:58,2021-08-14 09:42:48,2021-08-14 02:43:49,180,1415097383433,UNAVAILABLE,False,23.73,1317.91,RU,JINR-LCG2,2,777,09-28-2021
4,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267638_00,JINR-LCG2_DATADISK,97868849449,20,2021-08-14 10:08:42,2021-09-15 14:04:04,2021-09-15 14:04:04,180,1412667653411,UNAVAILABLE,False,91.15,1315.65,RU,JINR-LCG2,2,777,09-28-2021
5,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,SARA-MATRIX_DATADISK,403264512568,190,2019-10-08 22:37:25,2021-09-23 03:46:58,2021-09-23 03:46:58,190,403264512568,AVAILABLE,True,375.57,375.57,NL,SARA-MATRIX,1,421,09-28-2021
6,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,NDGF-T1_DATADISK,44813577533,29,2021-08-30 18:44:09,2021-08-31 17:02:18,2021-08-31 13:06:55,190,403264512568,UNAVAILABLE,False,41.74,375.57,ND,NDGF-T1,1,3663,09-28-2021
7,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267646_00,NDGF-T1_DATADISK,1415568038634,181,2021-08-31 13:24:51,2021-09-14 11:40:30,2021-09-14 11:40:30,181,1415568038634,AVAILABLE,False,1318.35,1318.35,ND,NDGF-T1,1,3663,09-28-2021
8,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267654_00,NDGF-T1_DATADISK,668407052432,82,2021-08-31 13:24:35,2021-09-15 15:03:43,2021-09-15 15:03:43,182,1415814209400,UNAVAILABLE,False,622.5,1318.58,ND,NDGF-T1,1,3663,09-28-2021
9,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267593_00,NDGF-T1_DATADISK,321839472541,48,2021-08-30 14:41:48,2021-09-23 21:02:28,2021-09-23 21:02:28,1350,11053940458855,UNAVAILABLE,False,299.74,10294.78,ND,NDGF-T1,1,3663,09-28-2021
10,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,GRIF-LAL_DATADISK,233030780284,104,2021-07-22 08:41:13,2021-08-01 21:46:21,2021-07-31 22:48:26,190,403264512568,UNAVAILABLE,False,217.03,375.57,FR,GRIF-LAL,2,909,09-28-2021
11,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267640_00,GRIF-LAL_DATADISK,160197630442,19,2021-08-16 19:38:53,2021-08-17 03:45:28,2021-08-16 20:35:07,180,1414053618519,UNAVAILABLE,False,149.2,1316.94,FR,GRIF-LAL,2,909,09-28-2021
12,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_s3136_r10724_r10726_p4323_tid23267679_00,GRIF-LAL_DATADISK,659413367358,89,2021-07-18 00:11:15,2021-07-18 14:22:33,2021-07-18 02:26:28,182,1417136734917,UNAVAILABLE,False,614.13,1319.81,FR,GRIF-LAL,2,909,09-28-2021
13,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,RAL-LCG2-ECHO_DATADISK,179260053129,89,2021-08-30 18:52:37,2021-09-19 18:25:49,2021-09-16 11:03:58,190,403264512568,UNAVAILABLE,False,166.95,375.57,UK,RAL-LCG2,1,3442,09-28-2021
14,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267606_00,RAL-LCG2-ECHO_DATADISK,1414498443641,180,2020-11-23 03:28:57,2021-09-28 08:58:38,2021-09-28 08:58:38,180,1414498443641,AVAILABLE,True,1317.35,1317.35,UK,RAL-LCG2,1,3442,09-28-2021
15,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267610_00,RAL-LCG2-ECHO_DATADISK,1413894118328,179,2020-11-23 03:43:39,2021-09-28 03:06:22,2021-09-28 03:06:22,179,1413894118328,AVAILABLE,True,1316.79,1316.79,UK,RAL-LCG2,1,3442,09-28-2021
16,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267612_00,RAL-LCG2-ECHO_DATADISK,177267108263,27,2021-06-13 19:25:07,2021-09-26 15:37:59,2021-09-26 15:37:59,193,1415588755840,UNAVAILABLE,False,165.09,1318.37,UK,RAL-LCG2,1,3442,09-28-2021
17,mc16_13TeV,mc16_13TeV.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.deriv.DAOD_EGAM1.e3601_e5984_s3126_r10724_r10726_p4323_tid23267634_00,RAL-LCG2-ECHO_DATADISK,1415097383433,180,2020-11-23 03:58:20,2021-09-28 04:37:34,2021-09-28 04:37:34,180,1415097383433,AVAILABLE,True,1317.91,1317.91,UK,RAL-LCG2,1,3442,09-28-2021
