"SOURCE","DEST","SRC_SITE","DEST_SITE","SRC_CLOUD","DEST_CLOUD","AGIS_DISTANCE"
TAIWAN-LCG2_DATADISK,TAIWAN-LCG2_DATADISK,Taiwan-LCG2,Taiwan-LCG2,TW,TW,0
SWT2_CPB_DATADISK,SWT2_CPB_DATADISK,SWT2_CPB,SWT2_CPB,US,US,0
TR-10-ULAKBIM_DATADISK,TR-10-ULAKBIM_DATADISK,TR-10-ULAKBIM,TR-10-ULAKBIM,NL,NL,0
TOKYO-LCG2_DATADISK,TOKYO-LCG2_DATADISK,TOKYO-LCG2,TOKYO-LCG2,FR,FR,0
TECHNION-HEP_DATADISK,TECHNION-HEP_DATADISK,TECHNION-HEP,TECHNION-HEP,NL,NL,0
UKI-LT2-QMUL_DATADISK,UKI-LT2-QMUL_DATADISK,UKI-LT2-QMUL,UKI-LT2-QMUL,UK,UK,0
UKI-LT2-BRUNEL_DATADISK,UKI-LT2-BRUNEL_DATADISK,UKI-LT2-Brunel,UKI-LT2-Brunel,UK,UK,0
UAM-LCG2_DATADISK,UAM-LCG2_DATADISK,UAM-LCG2,UAM-LCG2,ES,ES,0
UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-NORTHGRID-LIV-HEP,UKI-NORTHGRID-LIV-HEP,UK,UK,0
UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-NORTHGRID-LANCS-HEP,UKI-NORTHGRID-LANCS-HEP,UK,UK,0
UKI-SCOTGRID-GLASGOW_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,,,,,0
UKI-SCOTGRID-ECDF_DATADISK,UKI-SCOTGRID-ECDF_DATADISK,UKI-SCOTGRID-ECDF,UKI-SCOTGRID-ECDF,UK,UK,0
UKI-NORTHGRID-MAN-HEP_DATADISK,UKI-NORTHGRID-MAN-HEP_DATADISK,UKI-NORTHGRID-MAN-HEP,UKI-NORTHGRID-MAN-HEP,UK,UK,0
UKI-NORTHGRID-SHEF-HEP_DATADISK,UKI-NORTHGRID-SHEF-HEP_DATADISK,,,,,0
UKI-SCOTGRID-DURHAM_DATADISK,UKI-SCOTGRID-DURHAM_DATADISK,UKI-SCOTGRID-DURHAM,UKI-SCOTGRID-DURHAM,UK,UK,0
UNI-FREIBURG_DATADISK,UNI-FREIBURG_DATADISK,UNI-FREIBURG,UNI-FREIBURG,DE,DE,0
UKI-SOUTHGRID-OX-HEP_DATADISK,UKI-SOUTHGRID-OX-HEP_DATADISK,UKI-SOUTHGRID-OX-HEP,UKI-SOUTHGRID-OX-HEP,UK,UK,0
WEIZMANN-LCG2_DATADISK,WEIZMANN-LCG2_DATADISK,,,,,0
UTA_SWT2_DATADISK,UTA_SWT2_DATADISK,UTA_SWT2,UTA_SWT2,US,US,0
UNIBE-LHEP_DATADISK,UNIBE-LHEP_DATADISK,UNIBE-LHEP,UNIBE-LHEP,ND,ND,0
WUPPERTALPROD_DATADISK,WUPPERTALPROD_DATADISK,wuppertalprod,wuppertalprod,DE,DE,0
CYFRONET-LCG2_DATADISK,CYFRONET-LCG2_DATADISK,CYFRONET-LCG2,CYFRONET-LCG2,DE,DE,0
INFN-COSENZA_DATADISK,INFN-COSENZA_DATADISK,INFN-COSENZA,INFN-COSENZA,IT,IT,0
CERN-PROD-RUCIOTEST_DATADISK,CERN-PROD-RUCIOTEST_DATADISK,CERN-PROD,CERN-PROD,CERN,CERN,0
CERN-PROD_DATADISK,CERN-PROD_DATADISK,CERN-PROD,CERN-PROD,CERN,CERN,0
NERSC_DATADISK,NERSC_DATADISK,,,,,0
TRIUMF-LCG2_DATADISK,TRIUMF-LCG2_DATADISK,TRIUMF-LCG2,TRIUMF-LCG2,CA,CA,0
RAL-LCG2-ECHO_DATADISK,RAL-LCG2-ECHO_DATADISK,RAL-LCG2,RAL-LCG2,UK,UK,0
CA-SFU-T2_DATADISK,CA-SFU-T2_DATADISK,CA-SFU-T2,CA-SFU-T2,CA,CA,0
IN2P3-LAPP_DATADISK,IN2P3-LAPP_DATADISK,IN2P3-LAPP,IN2P3-LAPP,FR,FR,0
UKI-SOUTHGRID-RALPP_DATADISK,UKI-SOUTHGRID-RALPP_DATADISK,UKI-SOUTHGRID-RALPP,UKI-SOUTHGRID-RALPP,UK,UK,0
AGLT2_DATADISK,AGLT2_DATADISK,AGLT2,AGLT2,US,US,0
HK-LCG2_DATADISK,HK-LCG2_DATADISK,HK-LCG2,HK-LCG2,FR,FR,0
ANLASC_DATADISK,ANLASC_DATADISK,,,,,0
INFN-GENOVA_DATADISK,INFN-GENOVA_DATADISK,INFN-GENOVA,INFN-GENOVA,IT,IT,0
AUSTRALIA-ATLAS_DATADISK,AUSTRALIA-ATLAS_DATADISK,Australia-ATLAS,Australia-ATLAS,CA,CA,0
CA-WATERLOO-T2_DATADISK,CA-WATERLOO-T2_DATADISK,CA-WATERLOO-T2,CA-WATERLOO-T2,CA,CA,0
BEIJING-LCG2_DATADISK,BEIJING-LCG2_DATADISK,BEIJING-LCG2,BEIJING-LCG2,FR,FR,0
