,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,free_gb,datetime
0,AGLT2,AGLT2,AGLT2_DATADISK,US,2,11.12,8.0,118,3000,308506.33,09-28-2021
1,AGLT2_VHIMEM,AGLT2,AGLT2_DATADISK,US,2,11.12,8.0,118,2000,308506.33,09-28-2021
2,ALCF_Theta,ANLASC,BNLHPC_DATADISK,US,3,2.39,128.0,0,2000,24709.27,09-28-2021
3,ANALY_BNL_GPU_ARC,BNL-ATLAS-OPP,BNL-OSG2_DATADISK,US,3,10.0,1.0,0,3000,1164809.06,09-28-2021
4,ANALY_CERN-P1_COVID,CERN-PROD,CERN-PROD_DATADISK,CERN,3,8.0,8.0,0,20000,255678.68,09-28-2021
5,ANALY_CERN_T0_ART,CERN-PROD,CERN-PROD_DATADISK,CERN,0,16.88,8.0,0,2000,255678.68,09-28-2021
6,ANALY_FZU_VP,praguelcg2,PRAGUELCG2_DATADISK,DE,2,10.56,8.0,0,2000,182296.99,09-28-2021
7,ANALY_INFN-T1_GPU,INFN-T1,INFN-T1_DATADISK,IT,1,10.91,,0,2000,375176.6,09-28-2021
8,ANALY_MWT2_GPU,MWT2,MWT2_DATADISK,US,2,11.08,,800,2000,320684.03,09-28-2021
9,ANALY_MWT2_VP,MWT2,MWT2_DATADISK,US,2,11.08,8.0,800,2000,320684.03,09-28-2021
10,ANALY_SLAC_GPU,WT2,SLACXRD_DATADISK,US,3,20.0,,2,2000,40093.45,09-28-2021
11,ANALY_SWT2_CPB_VP,SWT2_CPB,SWT2_CPB_DATADISK,US,2,10.43,8.0,2,2000,277760.94,09-28-2021
12,ARNES,ARNES,NDGF-T1_DATADISK,ND,3,10.0,8.0,0,2000,277802.69,09-28-2021
13,AZ-IFAN,AZ-IFAN,FZK-LCG2_DATADISK,NL,3,10.0,1.0,0,6000,280425.38,09-28-2021
14,Australia-ATLAS,Australia-ATLAS,AUSTRALIA-ATLAS_DATADISK,CA,2,11.377,8.0,0,2000,143617.13,09-28-2021
15,BEIJING,BEIJING-LCG2,BEIJING-LCG2_DATADISK,FR,2,19.113,,0,2000,34795.07,09-28-2021
16,BEIJING_MCORE,BEIJING-LCG2,BEIJING-LCG2_DATADISK,FR,2,19.113,12.0,0,2000,34795.07,09-28-2021
17,BNL,BNL-ATLAS,BNL-OSG2_DATADISK,US,1,12.69,8.0,0,8000,1164809.06,09-28-2021
18,BNL_LAKE_UCORE,BNL-ATLAS,BNL-OSG2_DATADISK,US,1,12.32,8.0,0,2000,1164809.06,09-28-2021
19,BNL_PROD_INTEL,BNL-ATLAS,BNL-OSG2_DATADISK,US,1,12.69,8.0,0,8000,1164809.06,09-28-2021
20,BNL_VHIMEM,BNL-ATLAS,BNL-OSG2_DATADISK,US,1,12.69,8.0,0,2000,1164809.06,09-28-2021
21,BOINC_LONG,BOINC,CERN-PROD_DATADISK,CERN,3,14.75,8.0,0,20000,255678.68,09-28-2021
22,BOINC_MCORE,BOINC,NDGF-T1_DATADISK,CERN,3,10.0,1.0,0,20000,277802.69,09-28-2021
23,CA-IAAS-T3,CA-VICTORIA-WESTGRID-T2,CA-VICTORIA-WESTGRID-T2_DATADISK,CA,3,11.0,8.0,0,2000,148562.7,09-28-2021
24,CA-SFU-T2,CA-SFU-T2,CA-SFU-T2_DATADISK,CA,2,14.5,8.0,0,2000,851885.79,09-28-2021
25,CA-TRIUMF-DISKLESS,CA-TRIUMF-DISKLESS,TRIUMF-LCG2_DATADISK,CA,3,10.0,6.0,0,5000,294341.9,09-28-2021
26,CA-TRIUMF-DYNAFED,CA-TRIUMF-DYNAFED,CA-UVIC-CLOUD_DATADISK,CA,3,10.0,6.0,0,5000,2025.12,09-28-2021
27,CA-VICTORIA-K8S-T2,CA-VICTORIA-WESTGRID-T2,CA-VICTORIA-WESTGRID-T2_DATADISK,CA,2,11.0,8.0,0,2000,148562.7,09-28-2021
28,CA-WATERLOO-T2,CA-WATERLOO-T2,CA-WATERLOO-T2_DATADISK,CA,2,14.5,8.0,0,2000,205870.92,09-28-2021
29,CERN,CERN-PROD,CERN-PROD_DATADISK,CERN,0,10.0,8.0,0,2000,255678.68,09-28-2021
30,CERN-AZURE,CERN-PROD,CERN-PROD_DATADISK,CERN,0,10.0,8.0,0,2000,255678.68,09-28-2021
