,datetime,rse,site,cloud,tier_level,queue_efficiency,queue_occupancy,Free(storage),Total(storage),Difference,Primary diff,Unlocked,transferring,transferringlimit,corecount,corepower,running,queued,finished,failed,transferring_availability
0,09-28-2021,AGLT2_DATADISK,AGLT2,US,2,0.8681,18.22,305.87,7514.34,5.87,-1523.19,4007.0,178,3000,8.0,11.12,5120,271,3529.0,536.0,2822
1,09-28-2021,AUSTRALIA-ATLAS_DATADISK,Australia-ATLAS,CA,2,0.9655,2.44,148.4,1289.0,19.5,-365.39,720.19,19,2000,8.0,11.377,617,243,1625.0,58.0,1981
2,09-28-2021,BEIJING-LCG2_DATADISK,HK-LCG2,FR,2,0.9467,9.47,37.96,370.0,0.96,-150.41,244.25,180,6000,8.0,10.0,1126,109,1084.0,61.0,5820
3,09-28-2021,BNL-OSG2_DATADISK,BNL-ATLAS,US,1,0.9901,4.45,1248.48,19367.8,948.48,5334.26,744.79,1691,8000,8.0,12.69,15756,3528,25455.0,530.0,6309
4,09-28-2021,CA-UVIC-CLOUD_DATADISK,CA-TRIUMF-DYNAFED,CA,3,0.7486,0.0,2.17,11.0,1.07,-4.33,2.92,0,5000,6.0,10.0,4,0,259.0,87.0,5000
5,09-28-2021,CA-VICTORIA-WESTGRID-T2_DATADISK,CA-VICTORIA-WESTGRID-T2,CA,2,0.9424,3.92,149.99,1500.0,-0.01,-441.61,875.41,368,2000,8.0,11.0,2729,686,4268.0,261.0,1632
6,09-28-2021,CA-WATERLOO-T2_DATADISK,CA-WATERLOO-T2,CA,2,0.9576,0.0,227.71,2135.0,14.21,-630.17,1225.12,54,2000,8.0,14.5,758,459,2712.0,120.0,1946
7,09-28-2021,CERN-PROD_DATADISK,CERN-PROD,CERN,0,0.9401,2.35,275.62,21251.0,-24.38,4077.28,3989.07,1567,2000,32.0,16.88,6402,7431,20825.0,8936.0,433
8,09-28-2021,CERN-PROD_DATADISK,CERN-PROD,CERN,3,0.9570000000000001,1.02,275.62,21251.0,-24.38,4077.28,3989.07,1078,20000,16.0,10.0,5933,10324,9708.0,436.0,18922
9,09-28-2021,CERN-PROD_DATADISK,INFN-ROMA3,IT,3,0.971,1.48,275.62,21251.0,-24.38,4077.28,3989.07,12,2000,8.0,10.0,177,110,134.0,4.0,1988
10,09-28-2021,CSCS-LCG2_DATADISK,CSCS-LCG2,DE,2,0.9908,1.36,280.74,2510.2,29.72,341.47,275.18,222,2000,8.0,12.45,1186,863,3237.0,30.0,1778
11,09-28-2021,CYFRONET-LCG2_DATADISK,CYFRONET-LCG2,DE,2,0.95,4.61,176.32,1814.19,1.26,-647.12,1246.89,95,2000,16.0,14.2,871,179,1084.0,57.0,1905
12,09-28-2021,DESY-HH_DATADISK,DESY-HH,DE,2,0.9698,48.5,218.46,2200.0,-1.54,363.24,283.58,651,2000,8.0,11.675,13968,278,10886.0,339.0,1349
13,09-28-2021,DESY-ZN_DATADISK,DESY-ZN,DE,2,0.9882,4.77,203.75,2150.0,-10.7,470.79,207.15,781,2000,8.0,20.93,4718,552,7688.0,92.0,1219
14,09-28-2021,EELA-UTFSM_DATADISK,EELA-UTFSM,ES,2,0.9495,9.29,68.59,410.0,27.59,-210.22,320.14,11,2000,8.0,11.565,194,11,432.0,23.0,1989
15,09-28-2021,FMPHI-UNIBA_DATADISK,FMPhI-UNIBA,DE,2,0.9918,1.1,66.06,624.52,3.61,-170.11,350.22,64,2000,8.0,10.513,368,326,730.0,6.0,1936
16,09-28-2021,FZK-LCG2_DATADISK,AZ-IFAN,NL,3,0.7948,10.08,300.23,12444.0,0.23,2034.64,2439.64,24,6000,1.0,10.0,130,3,864.0,223.0,5976
