,datetime,queue,running,defined,assigned,activated,starting,transferring,holding,throttled,queue_occupancy_rate,site,cloud,tier_level,rse
0,2021-09-19,AGLT2,10029.0,38.0,129.0,117.0,38.0,1346.0,,2292.0,31.145963,GreatLakesT2,US,2,AGLT2_DATADISK
1,2021-09-19,UKI-SCOTGRID-GLASGOW_CEPH,9790.0,13.0,31.0,676.0,5.0,1183.0,,42.0,13.503448,UKI-SCOTGRID-GLASGOW-CEPH,UK,2,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK
2,2021-09-19,INFN-MILANO-ATLASC,1462.0,38.0,14.0,191.0,5.0,305.0,,46.0,5.895161,INFN-MILANO-ATLASC,IT,2,INFN-MILANO-ATLASC_DATADISK
3,2021-09-19,SWT2_CPB,5860.0,59.0,220.0,1034.0,1.0,1401.0,,763.0,4.459665,SWT2_CPB,US,2,SWT2_CPB_DATADISK
4,2021-09-19,UKI-NORTHGRID-MAN-HEP,8571.0,1.0,72.0,1948.0,4.0,3699.0,,,4.232593,UKI-NORTHGRID-MAN-HEP,UK,2,UKI-NORTHGRID-MAN-HEP_DATADISK
5,2021-09-19,CA-VICTORIA-K8S-T2,3106.0,76.0,70.0,1064.0,6.0,763.0,,100.0,2.554276,CA-VICTORIA-T2,CA,2,CA-VICTORIA-WESTGRID-T2_DATADISK
6,2021-09-19,MWT2,23515.0,2.0,531.0,9826.0,15.0,4868.0,1.0,1525.0,2.266725,MidwestT2,US,2,MWT2_DATADISK
7,2021-09-19,IN2P3-LPSC,1067.0,6.0,59.0,475.0,1.0,357.0,,263.0,1.972274,IN2P3-LPSC,FR,2,IN2P3-LPSC_DATADISK
8,2021-09-19,UNI-FREIBURG,2625.0,1.0,28.0,1357.0,1.0,301.0,,,1.892574,UNI-FREIBURG,DE,2,UNI-FREIBURG_DATADISK
9,2021-09-19,GRIF-IRFU,1380.0,2.0,154.0,597.0,4.0,359.0,,253.0,1.822985,GRIF-IRFU,FR,2,GRIF-IRFU_DATADISK
10,2021-09-19,ROMANIA07_HTCondor,1963.0,9.0,150.0,930.0,3.0,970.0,,182.0,1.797619,RO-07-NIPNE,FR,2,RO-07-NIPNE_DATADISK
11,2021-09-19,ANALY_CERN_T0_ART,195.0,1.0,1.0,106.0,1.0,,,52.0,1.788991,CERN-T0,CERN,0,CERN-PROD_DATADISK
12,2021-09-19,IN2P3-CC,4878.0,1.0,145.0,3207.0,31.0,1388.0,,982.0,1.441489,IN2P3-CC,FR,1,IN2P3-CC_DATADISK
13,2021-09-19,CERN,7207.0,73.0,305.0,4742.0,32.0,2143.0,1.0,1385.0,1.398874,CERN-PROD,CERN,0,CERN-PROD_DATADISK
14,2021-09-19,CYFRONET,747.0,138.0,18.0,414.0,2.0,262.0,,704.0,1.305944,CYFRONET-LCG2,DE,2,CYFRONET-LCG2_DATADISK
15,2021-09-19,CERN-T0,11815.0,11.0,207.0,9735.0,10.0,3051.0,1.0,946.0,1.185888,CERN-T0,CERN,0,CERN-PROD_DATADISK
16,2021-09-19,TRIUMF,3765.0,160.0,229.0,2161.0,716.0,2588.0,1.0,164.0,1.152786,TRIUMF,CA,1,TRIUMF-LCG2_DATADISK
17,2021-09-19,GRIF-LAL,2111.0,2.0,106.0,1776.0,10.0,324.0,,275.0,1.114572,GRIF-LAL,FR,2,GRIF-LAL_DATADISK
18,2021-09-19,TOKYO,3952.0,105.0,319.0,2386.0,756.0,598.0,2.0,529.0,1.108245,TOKYO_SL7,FR,2,TOKYO-LCG2_DATADISK
19,2021-09-19,INFN-NAPOLI-ATLAS,2796.0,1.0,57.0,2510.0,6.0,436.0,,,1.086247,INFN-NAPOLI-ATLAS,IT,2,INFN-NAPOLI-ATLAS_DATADISK
20,2021-09-19,FZK-LCG2,4852.0,676.0,297.0,3533.0,23.0,382.0,,1241.0,1.071318,FZK-LCG2,DE,1,FZK-LCG2_DATADISK
