,queue,site,cloud,rse,datetime
0,AGLT2,AGLT2,US,AGLT2_DATADISK,09-24-2021
1,AGLT2_TEST,AGLT2,US,AGLT2_DATADISK,09-24-2021
2,AGLT2_VHIMEM,AGLT2,US,AGLT2_DATADISK,09-24-2021
3,ALCF_Theta,ANLASC,US,BNLHPC_DATADISK,09-24-2021
4,ALCF_Theta_ES_TEST,ANLASC,US,BNLHPC_DATADISK,09-24-2021
5,ALL,CERN-PROD,CERN,,09-24-2021
6,ANALY_AGLT2_VP,AGLT2,US,,09-24-2021
7,ANALY_ARNES_DIRECT,ARNES,ND,NDGF-T1_DATADISK,09-24-2021
8,ANALY_BNL_GPU_ARC,BNL-ATLAS-OPP,US,BNL-OSG2_DATADISK,09-24-2021
9,ANALY_BNL_LAKE,BNL-ATLAS,US,,09-24-2021
10,ANALY_BNL_VP,BNL-ATLAS,US,,09-24-2021
11,ANALY_CERN-P1_COVID,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
12,ANALY_CERN-PTEST,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
13,ANALY_CERN-PTESTM,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
14,ANALY_CERN_T0_ART,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
15,ANALY_FZU_VP,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
16,ANALY_FZU_VP_2,praguelcg2,DE,,09-24-2021
17,ANALY_INFN-T1_GPU,INFN-T1,IT,INFN-T1_DATADISK,09-24-2021
18,ANALY_LRZ_VP,LRZ-LMU,DE,,09-24-2021
19,ANALY_MANC_GPU_TEST,UKI-NORTHGRID-MAN-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK,09-24-2021
20,ANALY_MANC_TEST_SL7,UKI-NORTHGRID-MAN-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK,09-24-2021
21,ANALY_MWT2_GPU,MWT2,US,MWT2_DATADISK,09-24-2021
22,ANALY_MWT2_VP,MWT2,US,MWT2_DATADISK,09-24-2021
23,ANALY_NET2_VP,BU_ATLAS_Tier2,US,,09-24-2021
24,ANALY_OU_OSCER_GPU_TEST,OU_OSCER_ATLAS,US,OU_OSCER_ATLAS_DATADISK,09-24-2021
25,ANALY_QMUL_GPU_TEST,UKI-LT2-QMUL,UK,UKI-LT2-QMUL_DATADISK,09-24-2021
26,ANALY_SLAC_GPU,WT2,US,SLACXRD_DATADISK,09-24-2021
27,ANALY_SWT2_CPB_VP,SWT2_CPB,US,SWT2_CPB_DATADISK,09-24-2021
28,ANALY_SiGNET_DIRECT,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
29,ARC-TEST,NDGF-T1,ND,NDGF-T1_DATADISK,09-24-2021
30,ARC-TEST_CONDOR,NDGF-T1,ND,NDGF-T1_DATADISK,09-24-2021
31,ARNES,ARNES,ND,NDGF-T1_DATADISK,09-24-2021
32,AZ-IFAN,AZ-IFAN,NL,FZK-LCG2_DATADISK,09-24-2021
33,Australia-ATLAS,Australia-ATLAS,CA,AUSTRALIA-ATLAS_DATADISK,09-24-2021
34,BEIJING,BEIJING-LCG2,FR,BEIJING-LCG2_DATADISK,09-24-2021
35,BEIJING_MCORE,BEIJING-LCG2,FR,BEIJING-LCG2_DATADISK,09-24-2021
36,BNL,BNL-ATLAS,US,BNL-OSG2_DATADISK,09-24-2021
37,BNL_LAKE_UCORE,BNL-ATLAS,US,BNL-OSG2_DATADISK,09-24-2021
38,BNL_PROD_CONTR_TEST,BNL-ATLAS,US,BNL-OSG2_DATADISK,09-24-2021
39,BNL_PROD_INTEL,BNL-ATLAS,US,BNL-OSG2_DATADISK,09-24-2021
40,BNL_VHIMEM,BNL-ATLAS,US,BNL-OSG2_DATADISK,09-24-2021
41,BOINC-TEST,BOINC,CERN,CERN-PROD_DATADISK,09-24-2021
41,BOINC-TEST,BOINC,CERN,NDGF-T1_DATADISK,09-24-2021
42,BOINC_LONG,BOINC,CERN,CERN-PROD_DATADISK,09-24-2021
43,BOINC_MCORE,BOINC,CERN,CERN-PROD_DATADISK,09-24-2021
43,BOINC_MCORE,BOINC,CERN,NDGF-T1_DATADISK,09-24-2021
44,CA-IAAS-T3,CA-VICTORIA-WESTGRID-T2,CA,CA-VICTORIA-WESTGRID-T2_DATADISK,09-24-2021
45,CA-SFU-T2,CA-SFU-T2,CA,CA-SFU-T2_DATADISK,09-24-2021
46,CA-TRIUMF-DISKLESS,CA-TRIUMF-DISKLESS,CA,TRIUMF-LCG2_DATADISK,09-24-2021
47,CA-TRIUMF-DYNAFED,CA-TRIUMF-DYNAFED,CA,CA-UVIC-CLOUD_DATADISK,09-24-2021
48,CA-VICTORIA-K8S-T2,CA-VICTORIA-WESTGRID-T2,CA,CA-VICTORIA-WESTGRID-T2_DATADISK,09-24-2021
49,CA-VICTORIA-K8S-TEST-T2,CA-VICTORIA-WESTGRID-T2,CA,CA-VICTORIA-WESTGRID-T2_DATADISK,09-24-2021
50,CA-WATERLOO-T2,CA-WATERLOO-T2,CA,CA-WATERLOO-T2_DATADISK,09-24-2021
51,CERN,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
52,CERN-AZURE,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
53,CERN-BACKFILL,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
54,CERN-EXTENSION,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
55,CERN-EXTENSION_KUBERNETES,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
56,CERN-EXTENSION_KUBERNETES_TEST,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
57,CERN-HPC,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
58,CERN-HPC_ES,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
59,CERN-IPV6,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
60,CERN-P1,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
61,CERN-P1_UCORE,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
62,CERN-PROD_DEV,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
63,CERN-PROD_EOS,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
64,CERN-PROD_ES,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
65,CERN-PROD_UCORE_2,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
66,CERN-T0,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
67,CERN-T0_VHIMEM,CERN-PROD,CERN,CERN-PROD_DATADISK,09-24-2021
68,CSCS-LCG2,CSCS-LCG2,DE,CSCS-LCG2_DATADISK,09-24-2021
69,CYFRONET,CYFRONET-LCG2,DE,CYFRONET-LCG2_DATADISK,09-24-2021
70,CYFRONET_DIRECT,CYFRONET-LCG2,DE,CYFRONET-LCG2_DATADISK,09-24-2021
71,DCSC,NDGF-T1,ND,NDGF-T1_DATADISK,09-24-2021
72,DE-TARDIS,FZK-LCG2,DE,FZK-LCG2_DATADISK,09-24-2021
73,DESY-HH,DESY-HH,DE,DESY-HH_DATADISK,09-24-2021
74,DESY-HH_GPU,DESY-HH,DE,DESY-HH_DATADISK,09-24-2021
75,DESY-HH_HPC,DESY-HH,DE,DESY-HH_DATADISK,09-24-2021
76,DESY-ZN,DESY-ZN,DE,DESY-ZN_DATADISK,09-24-2021
77,EELA-UTFSM,EELA-UTFSM,ES,EELA-UTFSM_DATADISK,09-24-2021
78,FMPhI-UNIBA,FMPhI-UNIBA,DE,FMPHI-UNIBA_DATADISK,09-24-2021
79,FRESNO-EKS-REMOTE,FRESNO-ATLAS-T3,US,SWT2_CPB_DATADISK,09-24-2021
80,FRESNO-EKS-S3,FRESNO-ATLAS-T3,US,,09-24-2021
81,FZK-LCG2,FZK-LCG2,DE,FZK-LCG2_DATADISK,09-24-2021
82,GOOGLE100,GOOGLE,US,,09-24-2021
83,GOOGLE_BULK,GOOGLE,US,,09-24-2021
84,GRIF-IRFU,GRIF,FR,GRIF-IRFU_DATADISK,09-24-2021
85,GRIF-LAL,GRIF,FR,GRIF-LAL_DATADISK,09-24-2021
86,GRIF-LPNHE,GRIF,FR,GRIF-LPNHE_DATADISK,09-24-2021
87,GoeGrid,GoeGrid,DE,GOEGRID_DATADISK,09-24-2021
88,HARVESTER_APF_BNL_TEST,BNL-ATLAS,US,BNL-OSG2_DATADISK,09-24-2021
89,HEPHY-UIBK,HEPHY-UIBK,DE,LRZ-LMU_DATADISK,09-24-2021
90,HONGKONG,HK-LCG2,FR,BEIJING-LCG2_DATADISK,09-24-2021
91,HPC2N,NDGF-T1,ND,NDGF-T1_DATADISK,09-24-2021
92,IEPSAS-Kosice,IEPSAS-Kosice,DE,IEPSAS-KOSICE_DATADISK,09-24-2021
93,IFIC,IFIC-LCG2,ES,IFIC-LCG2_DATADISK,09-24-2021
94,IFIC_ARC_TEST,IFIC-LCG2,ES,IFIC-LCG2_DATADISK,09-24-2021
95,IFIC_Lusitania2,IFIC-LCG2,ES,IFIC-LCG2_DATADISK,09-24-2021
96,IFIC_MareNostrum4,IFIC-LCG2,ES,IFIC-LCG2_DATADISK,09-24-2021
97,IHEP,RU-Protvino-IHEP,RU,RU-PROTVINO-IHEP_DATADISK,09-24-2021
98,IL-TAU,IL-TAU-HEP,NL,TECHNION-HEP_DATADISK,09-24-2021
99,IN2P3-CC,IN2P3-CC,FR,IN2P3-CC_DATADISK,09-24-2021
100,IN2P3-CC-TEST_ALPAMED,IN2P3-CC,FR,IN2P3-CC_DATADISK,09-24-2021
