DATETIME,QUEUE,EFFICIENCY
2021-09-20,BEIJING,0.9962
2021-09-20,IN2P3-CC-TEST_LAKE,0.996
2021-09-20,CA-VICTORIA-K8S-TEST-T2,0.9958
2021-09-20,ANALY_BNL_LAKE,0.9957
2021-09-20,CERN-BACKFILL,0.9956
2021-09-20,ANALY_MANC_TEST_SL7,0.9952
2021-09-20,praguelcg2_fzu_TEST,0.9938
2021-09-20,IN2P3-CPPM-TEST_ALPAMED,0.9935
2021-09-20,ANALY_BNL_GPU_ARC,0.9932
2021-09-20,BOINC_MCORE,0.9924
2021-09-20,SLAC_ES,0.9913
2021-09-20,IN2P3-CPPM-TEST_LAKE,0.991
2021-09-20,UTA_SWT2_UCORE,0.9885
2021-09-20,IN2P3-LPSC-TEST_LAKE,0.9882
2021-09-20,UIO_CLOUD_LOPRI,0.9873
2021-09-20,Vega_MCORE,0.9846
2021-09-20,Taiwan-LCG2-HPC2_Unified,0.9843
2021-09-20,UKI-LT2-Brunel_SL7_UCORE,0.984
2021-09-20,TRIUMF_SIM,0.9827
2021-09-20,ZA-WITS-CORE,0.9822
2021-09-20,BNL_PROD_INTEL,0.982
2021-09-20,INFN-COSENZA-RECAS,0.9818
2021-09-20,IN2P3-LPSC-TEST_ALPAMED,0.981
2021-09-20,UNI-FREIBURG_MCORE,0.9795
2021-09-20,NIKHEF_TEST,0.9788
2021-09-20,IN2P3-CC-TEST_ALPAMED,0.9788
2021-09-20,IN2P3-LAPP-TEST_LAKE,0.9787
2021-09-20,CERN-IPV6,0.978
2021-09-20,DESY-ZN,0.9771
2021-09-20,BEIJING_MCORE,0.9771
2021-09-20,IN2P3-LPC-TEST_LAKE,0.9771
2021-09-20,BNL_VHIMEM,0.9771
2021-09-20,INFN-FRASCATI,0.974
2021-09-20,FRESNO-EKS-S3,0.9739
2021-09-20,TECHNION,0.9736
2021-09-20,DESY-HH,0.9734
2021-09-20,Taiwan-LCG2,0.9731
2021-09-20,UTA_SWT2_UCORE_RET,0.9729
2021-09-20,UKI-NORTHGRID-LIV-HEP,0.9715
2021-09-20,WEIZMANN,0.9711
2021-09-20,ARC-TEST_CONDOR,0.971
2021-09-20,IN2P3-LAPP,0.9707
2021-09-20,IN2P3-LAPP-TEST_ALPAMED,0.9704
2021-09-20,NSC,0.9699
2021-09-20,GRIF-IRFU,0.9696
2021-09-20,UKI-SCOTGRID-GLASGOW_CEPH,0.969
2021-09-20,IN2P3-LPSC,0.9688
2021-09-20,praguelcg2,0.9681
2021-09-20,NERSC_Cori_p2_mcore,0.9661
2021-09-20,UKI-LT2-RHUL,0.9658
2021-09-20,MWT2_TEST,0.9639
2021-09-20,ANALY_FZU_VP,0.9637
2021-09-20,IN2P3-LAPP_LAKE,0.9614
2021-09-20,GRIF-LPNHE,0.9606
2021-09-20,Australia-ATLAS,0.9597
2021-09-20,IN2P3-LPC-TEST_ALPAMED,0.9596
2021-09-20,Taiwan-LCG2_K8S_UCORE,0.9591
2021-09-20,INFN-ROMA1,0.9589
2021-09-20,FMPhI-UNIBA,0.9556
2021-09-20,ROMANIA07_HTCondor,0.9548
2021-09-20,MWT2,0.9532
2021-09-20,LRZ-LMU_VHIMEM,0.9524
2021-09-20,IN2P3-LPC_LAKE,0.9521
2021-09-20,JINR,0.9518
2021-09-20,IN2P3-LPC,0.9514
2021-09-20,Taiwan-LCG2-HPC_Unified,0.9505
2021-09-20,UKI-LT2-QMUL_TEST,0.95
2021-09-20,SLAC,0.9491
2021-09-20,IFIC_MareNostrum4,0.9486
2021-09-20,IN2P3-CC,0.9477
2021-09-20,EELA-UTFSM,0.9476
2021-09-20,CYFRONET,0.9464
2021-09-20,UKI-LT2-IC-HEP_SL7_UCORE,0.9464
2021-09-20,UNI-FREIBURG,0.9463
2021-09-20,INFN-CNAF,0.9454
2021-09-20,TOKYO_HPC,0.945
2021-09-20,ANALY_CERN_T0_ART,0.9423
2021-09-20,RAL-LCG2_MCORE,0.9416
