,datetime,queue,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency
0,2021-09-19,IHEP,328,2,3,164.0,80.0,1563.0,0.0487
1,2021-09-19,ANALY_FZU_VP_2,511,8,0,63.875,1831.0,91.0,0.9527
2,2021-09-19,ANALY_AGLT2_VP,857,27,0,31.7407,1200.0,165.0,0.8791
3,2021-09-19,ANALY_MWT2_VP,311,16,0,19.4375,3391.0,374.0,0.9007
4,2021-09-19,RAL-LCG2_TEST,1783,124,0,14.379,6484.0,402.0,0.9416
5,2021-09-19,ANALY_CERN_T0_ART,196,18,0,10.8889,1885.0,105.0,0.9472
6,2021-09-19,ANALY_SWT2_CPB_VP,32,3,0,10.6667,266.0,31.0,0.8956
7,2021-09-19,UTA_SWT2_UCORE,62,6,14,10.3333,110.0,,0.0
8,2021-09-19,ANALY_NET2_VP,23,3,0,7.6667,277.0,38.0,0.8794
9,2021-09-19,ANALY_LRZ_VP,108,16,0,6.75,427.0,175.0,0.7093
10,2021-09-19,INFN-NAPOLI-ATLAS,1048,212,158,4.9434,5839.0,47.0,0.992
11,2021-09-19,ANALY_SiGNET_DIRECT,71,17,0,4.1765,345.0,230.0,0.6
12,2021-09-19,BOINC-TEST,4,1,0,4.0,64.0,8.0,0.8889
13,2021-09-19,HONGKONG,1097,312,359,3.516,1287.0,6.0,0.9954
14,2021-09-19,CERN-T0,9575,2854,1988,3.3549,30959.0,3063.0,0.91
15,2021-09-19,TRIUMF_SIM,1112,344,144,3.2326,1104.0,137.0,0.8896
16,2021-09-19,CA-TRIUMF-DYNAFED,3,1,0,3.0,257.0,15.0,0.9449
17,2021-09-19,LRZ-LMU_VHIMEM,5,2,0,2.5,122.0,,0.0
18,2021-09-19,UKI-SCOTGRID-GLASGOW_CEPH,9448,3990,1433,2.3679,11934.0,186.0,0.9847
19,2021-09-19,AGLT2,4648,1988,296,2.338,5758.0,210.0,0.9648
20,2021-09-19,BOINC_MCORE,46134,20756,73,2.2227,41096.0,193.0,0.9953
21,2021-09-19,LRZ-LMU,1128,526,97,2.1445,2951.0,439.0,0.8705
22,2021-09-19,HEPHY-UIBK,1170,554,244,2.1119,1234.0,99.0,0.9257
23,2021-09-19,TOKYO,3576,1738,323,2.0575,10428.0,671.0,0.9395
24,2021-09-19,praguelcg2_Karolina_MCORE,6,3,3,2.0,12365.0,455.0,0.9645
25,2021-09-19,NSC,886,538,26,1.6468,4244.0,149.0,0.9661
26,2021-09-19,RRC-KI-T1,1010,628,258,1.6083,5099.0,301.0,0.9443
27,2021-09-19,pic,2063,1356,152,1.5214,7687.0,1433.0,0.8429
28,2021-09-19,IN2P3-CC,4535,3340,1796,1.3578,25543.0,1063.0,0.96
29,2021-09-19,UKI-NORTHGRID-LIV-HEP,973,789,490,1.2332,1919.0,51.0,0.9741
30,2021-09-19,CA-VICTORIA-K8S-TEST-T2,6,5,0,1.2,916.0,,0.0
31,2021-09-19,INFN-ROMA1,2968,2484,322,1.1948,3149.0,236.0,0.9303
32,2021-09-19,ZA-WITS-CORE,119,100,6,1.19,449.0,42.0,0.9145
33,2021-09-19,UKI-NORTHGRID-MAN-HEP,2574,2170,616,1.1862,6565.0,3560.0,0.6484
34,2021-09-19,GRIF-LPNHE,1306,1109,112,1.1776,2586.0,55.0,0.9792
35,2021-09-19,TECHNION,1099,941,307,1.1679,2754.0,91.0,0.968
36,2021-09-19,IN2P3-LPSC,1172,1019,163,1.1501,1893.0,26.0,0.9865
37,2021-09-19,UKI-LT2-RHUL,3517,3066,311,1.1471,4332.0,345.0,0.9262
38,2021-09-19,UKI-SCOTGRID-ECDF,596,531,112,1.1224,1271.0,24.0,0.9815
39,2021-09-19,CERN-AZURE,224,210,0,1.0667,1180.0,97.0,0.924
40,2021-09-19,BNL,15791,14867,1158,1.0622,26783.0,1546.0,0.9454
41,2021-09-19,JINR,570,539,93,1.0575,1696.0,33.0,0.9809
42,2021-09-19,IN2P3-LPC,2175,2068,69,1.0517,2667.0,200.0,0.9302
43,2021-09-19,LUNARC,3,3,0,1.0,,724.0,0.0
44,2021-09-19,wuppertalprod_CONDOR_TEST,2,2,0,1.0,141.0,7.0,0.9527
45,2021-09-19,CERN-IPV6,2,2,0,1.0,136.0,1.0,0.9927
46,2021-09-19,BEIJING,5,5,35,1.0,90.0,2.0,0.9783
47,2021-09-19,SWT2_CPB,4895,4976,935,0.9837,14236.0,328.0,0.9775
48,2021-09-19,UTA_SWT2_UCORE_RET,1705,1736,195,0.9821,1350.0,52.0,0.9629
49,2021-09-19,INFN-COSENZA-RECAS,1479,1533,73,0.9648,631.0,2.0,0.9968
50,2021-09-19,praguelcg2,330,343,212,0.9621,1650.0,113.0,0.9359
51,2021-09-19,SiGNET,4598,4849,157,0.9482,2460.0,2908.0,0.4583
52,2021-09-19,IN2P3-LAPP,3516,3724,467,0.9441,3829.0,212.0,0.9475
53,2021-09-19,DESY-HH,12136,13534,917,0.8967,9702.0,1442.0,0.8706
54,2021-09-19,Taiwan-LCG2,1786,2007,198,0.8899,1776.0,42.0,0.9769
55,2021-09-19,IEPSAS-Kosice,160,180,24,0.8889,1188.0,34.0,0.9722
56,2021-09-19,pic_MareNostrum4,220,251,225,0.8765,1153.0,11.0,0.9905
57,2021-09-19,FMPhI-UNIBA,348,403,119,0.8635,1195.0,10.0,0.9917
58,2021-09-19,INFN-ROMA3,187,217,5,0.8618,166.0,2.0,0.9881
59,2021-09-19,UKI-NORTHGRID-MAN-HEP_TEST,6,7,0,0.8571,783.0,71.0,0.9169
60,2021-09-19,NET2,2421,2878,602,0.8412,11949.0,1273.0,0.9037
61,2021-09-19,RAL,5764,6867,385,0.8394,15317.0,738.0,0.954
62,2021-09-19,UIO_CLOUD,688,849,36,0.8104,3425.0,166.0,0.9538
63,2021-09-19,ROMANIA07_HTCondor,2151,2669,222,0.8059,2796.0,125.0,0.9572
64,2021-09-19,INFN-MILANO-ATLASC,1491,1852,109,0.8051,1563.0,166.0,0.904
65,2021-09-19,IN2P3-LAPP-TEST,8,10,0,0.8,383.0,5.0,0.9871
66,2021-09-19,IFIC,2130,2673,295,0.7969,8696.0,441.0,0.9517
67,2021-09-19,Australia-ATLAS,622,783,84,0.7944,1410.0,86.0,0.9425
68,2021-09-19,UNI-FREIBURG,2005,2564,391,0.782,2469.0,196.0,0.9265
69,2021-09-19,FZK-LCG2,5692,7598,999,0.7491,24588.0,3885.0,0.8636
70,2021-09-19,MWT2,26489,36338,3177,0.729,25822.0,794.0,0.9702
71,2021-09-19,UKI-LT2-Brunel_SL7_UCORE,358,506,24,0.7075,229.0,85.0,0.7293
72,2021-09-19,CERN,5761,8242,2904,0.699,33220.0,3835.0,0.8965
73,2021-09-19,SLAC,249,357,94,0.6975,1447.0,60.0,0.9602
