"RSE","ACTIVITY","N_REQUESTS","GB","SITE","CLOUD"
TAIWAN-LCG2_DATADISK,Data rebalancing,44598,79197.66,Taiwan-LCG2,TW
RAL-LCG2-ECHO_DATADISK,Data Consolidation,2251,3786.75,RAL-LCG2,UK
BNL-OSG2_DATADISK,Production Input,1729,889.78,BNL-ATLAS,US
WUPPERTALPROD_DATADISK,Production Output,23,3.83,wuppertalprod,DE
MPPMU_DATADISK,Production Output,159,100.25,MPPMU,DE
FMPHI-UNIBA_DATADISK,User Subscriptions,3,0,FMPhI-UNIBA,DE
WUPPERTALPROD_DATADISK,Data rebalancing,4,15.77,wuppertalprod,DE
INFN-ROMA1_DATADISK,Data Consolidation,5,0.22,INFN-ROMA1,IT
BNL-OSG2_DATADISK,User Subscriptions,236,316.71,BNL-ATLAS,US
CYFRONET-LCG2_DATADISK,Production Output,3,1.72,CYFRONET-LCG2,DE
IN2P3-LPC_DATADISK,Functional Test,11,0.01,IN2P3-LPC,FR
PRAGUELCG2_DATADISK,Staging,1,0.34,praguelcg2,DE
SARA-MATRIX_DATADISK,Staging,28,245.37,SARA-MATRIX,NL
PIC_DATADISK,Data rebalancing,3397,3347.6,pic,ES
DESY-ZN_DATADISK,Data Consolidation,7,1.14,DESY-ZN,DE
DESY-ZN_DATADISK,Production Output,8,1.79,DESY-ZN,DE
IFIC-LCG2_DATADISK,User Subscriptions,1,0.02,IFIC-LCG2,ES
OU_OSCER_ATLAS_DATADISK,Functional Test,15,0.01,OU_OSCER_ATLAS,US
IN2P3-LAPP_DATADISK,Production Output,38,7.93,IN2P3-LAPP,FR
UAM-LCG2_DATADISK,Functional Test,5,0,UAM-LCG2,ES
UTA_SWT2_DATADISK,Functional Test,11,0.01,UTA_SWT2,US
DESY-ZN_DATADISK,Staging,74,104.72,DESY-ZN,DE
NCG-INGRID-PT_DATADISK,Functional Test,17,0.02,NCG-INGRID-PT,ES
HK-LCG2_DATADISK,Data rebalancing,1082,1186.46,HK-LCG2,FR
IFIC-LCG2_DATADISK,Functional Test,5,0,IFIC-LCG2,ES
