"RSE","SITE","CLOUD"
CA-UVIC-CLOUD_DATADISK,CA-UVic-Cloud,CA
CA-SFU-T2_DATADISK,CA-SFU-T2,CA
CA-WATERLOO-T2_DATADISK,CA-WATERLOO-T2,CA
AUSTRALIA-ATLAS_DATADISK,Australia-ATLAS,CA
TRIUMF-LCG2_DATADISK,TRIUMF-LCG2,CA
CA-VICTORIA-WESTGRID-T2_DATADISK,CA-VICTORIA-WESTGRID-T2,CA
CERN-PROD_DATADISK,CERN-PROD,CERN
WUPPERTALPROD_DATADISK,wuppertalprod,DE
CSCS-LCG2_DATADISK,CSCS-LCG2,DE
CYFRONET-LCG2_DATADISK,CYFRONET-LCG2,DE
LRZ-LMU_DATADISK,LRZ-LMU,DE
DESY-ZN_DATADISK,DESY-ZN,DE
MPPMU_DATADISK,MPPMU,DE
PRAGUELCG2_DATADISK,praguelcg2,DE
FZK-LCG2_DATADISK,FZK-LCG2,DE
UNI-FREIBURG_DATADISK,UNI-FREIBURG,DE
DESY-HH_DATADISK,DESY-HH,DE
FMPHI-UNIBA_DATADISK,FMPhI-UNIBA,DE
GOEGRID_DATADISK,GoeGrid,DE
IEPSAS-KOSICE_DATADISK,IEPSAS-Kosice,DE
EELA-UTFSM_DATADISK,EELA-UTFSM,ES
NCG-INGRID-PT_DATADISK,NCG-INGRID-PT,ES
SAMPA_DATADISK,SAMPA,ES
IFIC-LCG2_DATADISK,IFIC-LCG2,ES
PIC_DATADISK,pic,ES
UAM-LCG2_DATADISK,UAM-LCG2,ES
IFAE_DATADISK,ifae,ES
GRIF-LPNHE_DATADISK,GRIF-LPNHE,FR
IN2P3-CC_DATADISK,IN2P3-CC,FR
BEIJING-LCG2_DATADISK,BEIJING-LCG2,FR
HK-LCG2_DATADISK,HK-LCG2,FR
TOKYO-LCG2_DATADISK,TOKYO-LCG2,FR
GRIF-IRFU_DATADISK,GRIF-IRFU,FR
GRIF-LAL_DATADISK,GRIF-LAL,FR
IN2P3-CPPM_DATADISK,IN2P3-CPPM,FR
IN2P3-LAPP_DATADISK,IN2P3-LAPP,FR
IN2P3-LPSC_DATADISK,IN2P3-LPSC,FR
IN2P3-LPC_DATADISK,IN2P3-LPC,FR
RO-07-NIPNE_DATADISK,RO-07-NIPNE,FR
INFN-COSENZA_DATADISK,INFN-COSENZA,IT
INFN-ROMA1_DATADISK,INFN-ROMA1,IT
INFN-ROMA3_DATADISK,INFN-ROMA3,IT
INFN-T1_DATADISK,INFN-T1,IT
INFN-GENOVA_DATADISK,INFN-GENOVA,IT
INFN-MILANO-ATLASC_DATADISK,INFN-MILANO-ATLASC,IT
INFN-NAPOLI-ATLAS_DATADISK,INFN-NAPOLI-ATLAS,IT
INFN-FRASCATI_DATADISK,INFN-FRASCATI,IT
NDGF-T1_DATADISK,NDGF-T1,ND
UNIBE-LHEP_DATADISK,UNIBE-LHEP,ND
TR-10-ULAKBIM_DATADISK,TR-10-ULAKBIM,NL
SARA-MATRIX_DATADISK,SARA-MATRIX,NL
ZA-WITS-CORE_DATADISK,ZA-WITS-CORE,NL
NIKHEF_DATADISK,NIKHEF,NL
TECHNION-HEP_DATADISK,TECHNION-HEP,NL
RU-PROTVINO-IHEP_DATADISK,RU-Protvino-IHEP,RU
RRC-KI-T1_DATADISK,RRC-KI-T1,RU
JINR-LCG2_DATADISK,JINR-LCG2,RU
ru-PNPI_XCACHE_NODES,ru-PNPI_XCACHE_NODES,RU
TAIWAN-LCG2_DATADISK,Taiwan-LCG2,TW
UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-NORTHGRID-LIV-HEP,UK
UKI-LT2-BRUNEL_DATADISK,UKI-LT2-Brunel,UK
UKI-SOUTHGRID-OX-HEP_DATADISK,UKI-SOUTHGRID-OX-HEP,UK
UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-NORTHGRID-LANCS-HEP,UK
UKI-SOUTHGRID-RALPP_DATADISK,UKI-SOUTHGRID-RALPP,UK
UKI-SCOTGRID-DURHAM_DATADISK,UKI-SCOTGRID-DURHAM,UK
UKI-SCOTGRID-ECDF_DATADISK,UKI-SCOTGRID-ECDF,UK
UKI-NORTHGRID-MAN-HEP_DATADISK,UKI-NORTHGRID-MAN-HEP,UK
RAL-LCG2-ECHO_DATADISK,RAL-LCG2,UK
UKI-LT2-RHUL_DATADISK,UKI-LT2-RHUL,UK
UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,UKI-SCOTGRID-GLASGOW,UK
UKI-LT2-QMUL_DATADISK,UKI-LT2-QMUL,UK
SWT2_CPB_DATADISK,SWT2_CPB,US
SLACXRD_DATADISK,WT2,US
UTA_SWT2_DATADISK,UTA_SWT2,US
AGLT2_DATADISK,AGLT2,US
OU_OSCER_ATLAS_DATADISK,OU_OSCER_ATLAS,US
NESE_DATADISK,BU_NESE,US
NET2_DATADISK,BU_ATLAS_Tier2,US
BNLHPC_DATADISK,BNLHPC,US
BNL-OSG2_DATADISK,BNL-ATLAS,US
MWT2_DATADISK,MWT2,US
