,datetime,queue,running,defined,assigned,activated,starting,transferring,holding,throttled,site_occupancy_rate,site,cloud,tier_level
0,2021-09-19,AGLT2,9983.0,90.0,15.0,289.0,1.0,1545.0,,2166.0,25.273418,GreatLakesT2,US,2
1,2021-09-19,IN2P3-LAPP,3308.0,1.0,5.0,192.0,1.0,656.0,2.0,595.0,16.623116,IN2P3-LAPP,FR,2
2,2021-09-19,INFN-FRASCATI,3283.0,1.0,27.0,231.0,4.0,895.0,2.0,805.0,12.48289,INFN-FRASCATI,IT,2
3,2021-09-19,GRIF-LAL,2127.0,100.0,1.0,94.0,1.0,229.0,,170.0,10.852041,GRIF-LAL,FR,2
5,2021-09-19,TECHNION,1098.0,1.0,99.0,163.0,1.0,278.0,1.0,85.0,4.159091,TECHNION-HEP,NL,2
6,2021-09-19,CA-VICTORIA-K8S-T2,3150.0,62.0,46.0,920.0,9.0,1058.0,,,3.037608,CA-VICTORIA-T2,CA,2
7,2021-09-19,praguelcg2,683.0,3.0,70.0,206.0,2.0,739.0,,107.0,2.430605,praguelcg2,DE,2
8,2021-09-19,FZK-LCG2,5128.0,78.0,71.0,2069.0,24.0,733.0,2.0,259.0,2.287244,FZK-LCG2,DE,1
9,2021-09-19,CSCS-LCG2,2436.0,2.0,41.0,368.0,800.0,1493.0,1.0,,2.011561,CSCS-LCG2-HPC,DE,2
10,2021-09-19,BNL,8427.0,13.0,282.0,4040.0,35.0,4028.0,4.0,1033.0,1.928375,BNL,US,1
11,2021-09-19,CERN,7210.0,4.0,34.0,4117.0,17.0,3481.0,,767.0,1.728188,CERN-PROD,CERN,0
12,2021-09-19,CERN-T0,9683.0,2.0,171.0,8427.0,12.0,4510.0,2.0,763.0,1.124361,CERN-T0,CERN,0
13,2021-09-19,UKI-LT2-QMUL,1608.0,2.0,151.0,1398.0,4.0,675.0,1.0,283.0,1.034084,UKI-LT2-QMUL_SL7,UK,2
14,2021-09-19,ANALY_CERN_T0_ART,195.0,34.0,1.0,155.0,2.0,,,,1.015625,CERN-T0,CERN,0
15,2021-09-19,NSC,1008.0,2.0,9.0,898.0,200.0,41.0,,,0.908927,NSC,ND,1
16,2021-09-19,ARNES,1944.0,394.0,35.0,1772.0,210.0,763.0,1.0,,0.806304,ARNES,ND,3
17,2021-09-19,CA-SFU-T2,981.0,5.0,2.0,523.0,724.0,504.0,,,0.782297,CA-SFU-T2,CA,2
18,2021-09-19,LRZ-LMU,2145.0,27.0,42.0,2278.0,412.0,760.0,1.0,,0.777456,LRZ-LMU,DE,2
19,2021-09-19,NET2,3224.0,13.0,44.0,4719.0,17.0,620.0,,,0.672648,BostonU,US,2
20,2021-09-19,RRC-KI-T1,1104.0,21.0,59.0,1681.0,6.0,392.0,1.0,,0.624788,RRC-KI-T1,RU,1
21,2021-09-19,UNIBE-LHEP,1238.0,119.0,23.0,1358.0,800.0,723.0,4.0,,0.538261,UNIBE-LHEP,ND,2
22,2021-09-19,CA-WATERLOO-T2,710.0,25.0,118.0,437.0,777.0,742.0,3.0,,0.523213,CA-WATERLOO-T2,CA,2
23,2021-09-19,AGLT2_VHIMEM,275.0,4.0,796.0,1176.0,1.0,43.0,,,0.1391,GreatLakesT2,US,2
24,2021-09-19,UNIBE-LHEP-UBELIX,190.0,1.0,3.0,1310.0,889.0,141.0,,,0.086246,UNIBE-LHEP-UBELIX,ND,2
25,2021-09-19,ANALY_AGLT2_VP,190.0,16.0,,28.0,,,,499.0,0.0,GreatLakesT2,US,2
26,2021-09-19,ANALY_ARNES_DIRECT,117.0,77.0,,87.0,236.0,,,,0.0,ARNES,ND,3
27,2021-09-19,ANALY_BNL_GPU_ARC,1.0,,,5.0,,,,,0.0,BNL-ATLAS-T3,US,3
28,2021-09-19,ANALY_BNL_VP,57.0,,,,4.0,,3.0,,0.0,BNL,US,1
29,2021-09-19,ANALY_CERN-P1_COVID,1.0,,,2.0,2.0,,,,0.0,CERN-P1,CERN,3
30,2021-09-19,ANALY_FZU_VP_2,737.0,,,500.0,196.0,,,319.0,0.0,praguelcg2_vp,DE,2
31,2021-09-19,ANALY_LRZ_VP,14.0,61.0,,,6.0,,,,0.0,LRZ-LMU,DE,2
33,2021-09-19,ANALY_MWT2_VP,908.0,,,44.0,1.0,,,304.0,0.0,MidwestT2,US,2
34,2021-09-19,ANALY_NET2_VP,12.0,2.0,,2.0,1.0,,1.0,,0.0,BostonU,US,2
35,2021-09-19,ANALY_SLAC_GPU,,,,1.0,7.0,,,,0.0,SLAC,US,3
36,2021-09-19,ANALY_SWT2_CPB_VP,18.0,6.0,,38.0,,,,,0.0,SWT2_CPB,US,2
37,2021-09-19,ANALY_SiGNET_DIRECT,137.0,57.0,,1.0,314.0,,,,0.0,SiGNET,ND,2
40,2021-09-19,AZ-IFAN,124.0,,,27.0,1.0,85.0,,,0.0,AZ-IFAN,NL,3
41,2021-09-19,Australia-ATLAS,620.0,,49.0,54.0,181.0,126.0,,,0.0,Australia-ATLAS,CA,2
42,2021-09-19,BEIJING,5.0,,,43.0,,19.0,,,0.0,BEIJING-LCG2,FR,2
43,2021-09-19,BEIJING_MCORE,35.0,,1.0,383.0,,26.0,,,0.0,BEIJING-LCG2,FR,2
45,2021-09-19,BNL_PROD_INTEL,8.0,,,6.0,,,,,0.0,BNL,US,1
46,2021-09-19,BNL_VHIMEM,,,,5.0,,,,,0.0,BNL,US,1
48,2021-09-19,BOINC_MCORE,45247.0,,,32731.0,4583.0,121.0,16.0,,0.0,BOINC,CERN,3
49,2021-09-19,CA-IAAS-T3,347.0,,22.0,415.0,4.0,436.0,,,0.0,CA-IAAS-T3,CA,3
50,2021-09-19,CA-TRIUMF-DISKLESS,43.0,,21.0,28.0,200.0,17.0,,,0.0,CA-TRIUMF-DISKLESS,CA,3
51,2021-09-19,CA-TRIUMF-DYNAFED,1.0,,,1.0,1.0,,,,0.0,CA-TRIUMF-DYNAFED,CA,3
53,2021-09-19,CERN-AZURE,238.0,17.0,,336.0,1.0,,,,0.0,CERN-PROD,CERN,0
54,2021-09-19,CERN-BACKFILL,2.0,,,3.0,,,,,0.0,CERN-PROD,CERN,0
55,2021-09-19,CERN-EXTENSION,10.0,,,34.0,,9.0,,,0.0,CERN-EXTENSION,CERN,3
56,2021-09-19,CERN-EXTENSION_KUBERNETES,43.0,,,69.0,,141.0,,,0.0,CERN-EXTENSION,CERN,3
57,2021-09-19,CERN-HPC,1.0,,,253.0,,118.0,,,0.0,CERN-PROD,CERN,0
58,2021-09-19,CERN-HPC_ES,49.0,,,1369.0,,83.0,,,0.0,CERN-PROD,CERN,0
59,2021-09-19,CERN-IPV6,2.0,,,6.0,,,,,0.0,CERN-PROD,CERN,0
60,2021-09-19,CERN-P1,6621.0,,,10071.0,1253.0,17349.0,1.0,,0.0,CERN-P1,CERN,3
61,2021-09-19,CERN-P1_UCORE,92.0,,,775.0,500.0,11.0,,,0.0,CERN-P1,CERN,3
62,2021-09-19,CERN-PROD_EOS,236.0,,1.0,217.0,,268.0,,,0.0,CERN-PROD,CERN,0
63,2021-09-19,CERN-T0_VHIMEM,11.0,,,9.0,,2.0,,,0.0,CERN-T0,CERN,0
64,2021-09-19,CYFRONET,767.0,,26.0,297.0,2.0,339.0,,691.0,0.0,CYFRONET-LCG2,DE,2
65,2021-09-19,CYFRONET_DIRECT,,,,8.0,,,,,0.0,CYFRONET-LCG2,DE,2
66,2021-09-19,DCSC,236.0,,54.0,2440.0,200.0,7.0,1.0,,0.0,DCSC,ND,1
67,2021-09-19,DE-TARDIS,1190.0,,,105.0,2.0,424.0,,,0.0,DE-TARDIS,DE,1
68,2021-09-19,DESY-HH,12163.0,,41.0,730.0,7.0,2810.0,1.0,102.0,0.0,DESY-HH,DE,2
69,2021-09-19,DESY-HH_HPC,,,,,107.0,11.0,,,0.0,DESY-HH,DE,2
70,2021-09-19,DESY-ZN,4119.0,,21.0,276.0,,3404.0,2.0,187.0,0.0,DESY-ZN,DE,2
71,2021-09-19,EELA-UTFSM,421.0,,21.0,217.0,,261.0,,570.0,0.0,EELA-UTFSM,ES,2
72,2021-09-19,FMPhI-UNIBA,211.0,6.0,,153.0,5.0,485.0,1.0,,0.0,FMPhI-UNIBA,DE,2
73,2021-09-19,FRESNO-EKS-S3,,,,1.0,,,,,0.0,FRESNO-AWS,US,3
74,2021-09-19,GRIF-IRFU,1133.0,,60.0,1354.0,4.0,430.0,,227.0,0.0,GRIF-IRFU,FR,2
75,2021-09-19,GRIF-LPNHE,1029.0,,94.0,574.0,4.0,510.0,,93.0,0.0,GRIF-LPNHE,FR,2
76,2021-09-19,GoeGrid,543.0,,29.0,417.0,6.0,236.0,,,0.0,GoeGrid,DE,2
78,2021-09-19,HEPHY-UIBK,146.0,,,131.0,86.0,338.0,1.0,,0.0,HEPHY-UIBK,DE,2
79,2021-09-19,HONGKONG,800.0,,,79.0,,277.0,,,0.0,HK-LCG2,FR,2
80,2021-09-19,HPC2N,118.0,,57.0,40.0,701.0,65.0,1.0,,0.0,HPC2N,ND,1
