,rse,Avg tombstone,Difference,Free(storage),Min space,Persistent,Primary diff,Quota(other),Storage Timestamp,Temporary,Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),datetime
1,AGLT2_DATADISK,52.4,5.87,305.87,300.0,2799.88,-1523.19,0.0,,262.61,7514.34,4007.0,216.05,0.0,6992.42,09-30-2021
5,AUSTRALIA-ATLAS_DATADISK,45.75,19.5,148.4,128.9,374.4,-365.39,0.0,,64.7,1289.0,720.19,12.4,0.0,1128.2,09-30-2021
9,BEIJING-LCG2_DATADISK,44.07,0.96,37.96,37.0,64.9,-150.41,0.0,,3.05,370.0,244.25,16.21,0.0,315.84,09-30-2021
14,BNL-OSG2_DATADISK,4.42,948.48,1248.48,300.0,16256.64,5334.26,0.0,,1404.81,19367.8,744.79,419.6,0.0,17699.72,09-30-2021
20,BNLHPC_DATADISK,16.37,9.8,25.8,16.0,4.48,-78.66,0.0,,1.94,160.0,119.99,-3.13,0.0,137.33,09-30-2021
23,CA-SFU-T2_DATADISK,5.78,545.25,845.25,300.0,3342.02,805.86,0.0,,352.94,4610.0,344.0,-151.11,0.0,3915.86,09-30-2021
26,CA-UVIC-CLOUD_DATADISK,64.49,1.07,2.17,1.1,4.26,-4.33,0.0,,0.0,11.0,2.92,3.63,0.0,5.19,09-30-2021
28,CA-VICTORIA-WESTGRID-T2_DATADISK,19.06,-0.01,149.99,150.0,406.65,-441.61,0.0,,64.77,1500.0,875.41,16.2,0.0,1333.81,09-30-2021
31,CA-WATERLOO-T2_DATADISK,69.86,14.21,227.71,213.5,643.43,-630.17,0.0,,66.91,2135.0,1225.12,31.35,0.0,1875.94,09-30-2021
34,CERN-EXTENSION_DATADISK,,0.9,1.0,0.1,0.0,-0.6,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,09-30-2021
