,rse,site,cloud,queue,datetime,tier_level,corepower,corecount,nodes,transferringlimit,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance,SARA-MATRIX_DATADISK_closeness,rse_weight
0,AGLT2_DATADISK,AGLT2,US,AGLT2,09-28-2021,0.04,-0.079,-0.02,0.111,0.007,0.056,-0.046,-0.035,0.279,-0.016,0.007,-0.007,0.086,-0.054,-0.014,0.31,-0.328,-0.105,0.068,0.65,0.251,-0.09,0.066,-0.101,0.101,0.392
1,CERN-PROD_DATADISK,CERN-PROD,CERN,ANALY_CERN_T0_ART,09-28-2021,-0.627,0.366,-0.02,-0.036,-0.047,-0.053,-0.04,-0.112,-0.086,-0.091,-0.048,0.049,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,0.6299999999999999
2,CERN-PROD_DATADISK,CERN-PROD,CERN,CERN,09-28-2021,-0.627,-0.166,-0.02,-0.036,-0.047,0.054,0.471,0.431,-0.083,0.407,0.947,-0.176,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,0.951
3,CERN-PROD_DATADISK,CERN-PROD,CERN,CERN-AZURE,09-28-2021,-0.627,-0.166,-0.02,-0.036,-0.047,-0.053,-0.04,-0.112,-0.086,-0.082,-0.041,0.013,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,0.594
4,CERN-PROD_DATADISK,CERN-PROD,CERN,CERN-EXTENSION_KUBERNETES,09-28-2021,0.373,-0.166,-0.02,-0.036,-0.047,-0.054,-0.055,-0.101,-0.076,-0.079,-0.034,-0.024,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,0.578
5,CERN-PROD_DATADISK,CERN-PROD,CERN,CERN-HPC_ES,09-28-2021,-0.627,-0.166,0.491,-0.036,-0.047,-0.057,-0.066,-0.112,-0.097,-0.099,-0.029,-0.508,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,0.06199999999999997
6,CERN-PROD_DATADISK,CERN-PROD,CERN,CERN-IPV6,09-28-2021,-0.627,-0.166,-0.02,-0.036,-0.047,-0.058,-0.066,-0.112,-0.092,-0.096,-0.051,0.065,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,0.6399999999999999
7,CERN-PROD_DATADISK,CERN-PROD,CERN,CERN-P1,09-28-2021,0.373,-0.32,0.15,-0.036,0.926,0.074,0.679,0.355,-0.085,0.135,-0.004,0.082,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,1.131
8,CERN-PROD_DATADISK,CERN-PROD,CERN,CERN-PROD_EOS,09-28-2021,-0.627,-0.166,-0.02,-0.036,-0.047,-0.05,-0.056,-0.08,-0.049,-0.079,-0.039,0.013,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,0.6629999999999999
9,CERN-PROD_DATADISK,CERN-PROD,CERN,CERN-T0,09-28-2021,-0.627,-0.293,-0.02,-0.036,-0.047,0.084,0.291,0.567,-0.07,0.403,0.17,0.037,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,1.313
10,CERN-PROD_DATADISK,INFN-ROMA3,IT,INFN-ROMA3,09-28-2021,0.373,-0.166,-0.02,-0.036,-0.047,-0.054,-0.058,-0.107,-0.067,-0.099,-0.052,0.096,-0.107,-0.079,-0.036,0.31,0.476,-0.105,0.714,0.677,0.163,-0.09,0.731,-0.101,0.101,0.701
11,MWT2_DATADISK,MWT2,US,ANALY_MWT2_VP,09-28-2021,0.04,-0.082,-0.02,0.964,-0.047,-0.052,-0.063,-0.112,0.01,-0.057,-0.03,0.026,-0.066,-0.051,-0.011,0.31,0.083,-0.105,0.175,0.197,0.204,-0.09,0.177,-0.101,0.101,0.189
12,MWT2_DATADISK,MWT2,US,MWT2,09-28-2021,0.04,-0.099,-0.02,0.964,0.115,0.549,0.028,0.888,0.333,0.605,0.047,0.095,-0.066,-0.051,-0.011,0.31,0.083,-0.105,0.175,0.197,0.204,-0.09,0.177,-0.101,0.101,1.5810000000000002
13,MWT2_DATADISK,MWT2,US,MWT2_VHIMEM_UCORE,09-28-2021,0.04,-0.082,-0.02,0.964,-0.047,-0.057,-0.066,-0.112,-0.076,-0.097,-0.049,-0.004,-0.066,-0.051,-0.011,0.31,0.083,-0.105,0.175,0.197,0.204,-0.09,0.177,-0.101,0.101,0.07299999999999998
14,SWT2_CPB_DATADISK,SWT2_CPB,US,ANALY_SWT2_CPB_VP,09-28-2021,0.04,-0.132,-0.02,-0.034,-0.047,-0.057,-0.064,-0.112,-0.086,-0.097,-0.048,-0.053,-0.017,-0.068,-0.026,0.31,0.004,-0.105,0.015,0.046,-0.014,-0.09,0.023,-0.101,0.101,-0.161
15,SWT2_CPB_DATADISK,SWT2_CPB,US,SWT2_CPB,09-28-2021,0.04,-0.132,-0.02,-0.034,0.007,0.049,0.092,0.099,-0.052,0.194,-0.022,0.103,-0.017,-0.068,-0.026,0.31,0.004,-0.105,0.015,0.046,-0.014,-0.09,0.023,-0.101,0.101,0.24000000000000002
16,SWT2_CPB_DATADISK,UTA_SWT2,US,UTA_SWT2_UCORE_RET,09-28-2021,0.04,-0.23,-0.02,0.114,-0.047,-0.019,-0.056,-0.076,0.143,-0.068,-0.049,0.104,-0.017,-0.068,-0.026,0.31,0.004,-0.105,0.015,0.046,-0.014,-0.09,0.023,-0.101,0.101,0.261
17,NDGF-T1_DATADISK,ARNES,ND,ARNES,09-28-2021,0.373,-0.166,-0.02,-0.036,-0.047,-0.028,0.034,0.041,-0.077,0.053,0.073,-0.026,-0.079,-0.067,-0.026,0.31,0.134,0.627,0.398,0.587,0.026,0.572,0.389,-0.101,0.101,0.41100000000000003
18,NDGF-T1_DATADISK,BOINC,CERN,BOINC_MCORE,09-28-2021,0.373,-0.166,-0.169,-0.036,0.926,0.942,0.934,-0.08,-0.03,0.899,-0.032,0.121,-0.079,-0.067,-0.026,0.31,0.134,0.627,0.398,0.587,0.026,0.572,0.389,-0.101,0.101,0.484
