,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,datetime,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance
0,AGLT2,AGLT2,AGLT2_DATADISK,US,2,11.12,8.0,118,3000,09-28-2021,5120,271,178,18.22,3529.0,536.0,0.8681,51.84,30.36,330.36,300.0,-1569.67,0.0,7514.34,4030.77,214.27,0.0,6969.71,3
1,ANALY_CERN_T0_ART,CERN-PROD,CERN-PROD_DATADISK,CERN,0,16.88,8.0,0,2000,09-28-2021,194,359,0,0.53,461.0,38.0,0.9238,5.76,-28.66,271.34,300.0,3933.65,0.0,21251.0,4142.88,152.53,0.0,20827.13,3
2,CERN,CERN-PROD,CERN-PROD_DATADISK,CERN,0,10.0,8.0,0,2000,09-28-2021,5039,7431,1254,0.68,20825.0,8936.0,0.6997,5.76,-28.66,271.34,300.0,3933.65,0.0,21251.0,4142.88,152.53,0.0,20827.13,3
3,CERN-AZURE,CERN-PROD,CERN-PROD_DATADISK,CERN,0,10.0,8.0,0,2000,09-28-2021,200,364,0,0.54,807.0,102.0,0.8878,5.76,-28.66,271.34,300.0,3933.65,0.0,21251.0,4142.88,152.53,0.0,20827.13,3
4,CERN-EXTENSION_KUBERNETES,CERN-PROD,CERN-PROD_DATADISK,CERN,3,10.0,8.0,0,2000,09-28-2021,159,147,26,1.02,934.0,163.0,0.8514,5.76,-28.66,271.34,300.0,3933.65,0.0,21251.0,4142.88,152.53,0.0,20827.13,3
5,CERN-HPC_ES,CERN-PROD,CERN-PROD_DATADISK,CERN,0,10.0,32.0,0,2000,09-28-2021,29,0,0,0.0,124.0,213.0,0.368,5.76,-28.66,271.34,300.0,3933.65,0.0,21251.0,4142.88,152.53,0.0,20827.13,3
6,CERN-IPV6,CERN-PROD,CERN-PROD_DATADISK,CERN,0,10.0,8.0,0,2000,09-28-2021,2,3,0,0.23,267.0,17.0,0.9401,5.76,-28.66,271.34,300.0,3933.65,0.0,21251.0,4142.88,152.53,0.0,20827.13,3
7,CERN-P1,CERN-PROD,CERN-PROD_DATADISK,CERN,3,8.0,16.0,0,20000,09-28-2021,5933,10324,1078,0.57,9708.0,436.0,0.957,5.76,-28.66,271.34,300.0,3933.65,0.0,21251.0,4142.88,152.53,0.0,20827.13,3
8,CERN-PROD_EOS,CERN-PROD,CERN-PROD_DATADISK,CERN,0,10.0,8.0,0,2000,09-28-2021,342,136,75,2.35,955.0,120.0,0.8884,5.76,-28.66,271.34,300.0,3933.65,0.0,21251.0,4142.88,152.53,0.0,20827.13,3
9,CERN-T0,CERN-PROD,CERN-PROD_DATADISK,CERN,0,8.35,8.0,0,2000,09-28-2021,6402,4941,1567,1.29,20686.0,1992.0,0.9122,5.76,-28.66,271.34,300.0,3933.65,0.0,21251.0,4142.88,152.53,0.0,20827.13,3
